gate_id,station,gate_number,direction_description,nearby_landmark
1,1,1,Towards Residential Area,City Mall near Dwarka Sector 21
2,1,2,Towards North Block,Local Market near Dwarka Sector 21
3,1,3,Towards Bus Stand,Hospital near Dwarka Sector 21
4,1,4,Towards Residential Area,Post Office near Dwarka Sector 21
5,2,1,Towards Residential Area,Bank Branch near Dwarka Sector 8
6,2,2,Towards East Avenue,City Mall near Dwarka Sector 8
7,2,3,Towards Main Road,Central Park near Dwarka Sector 8
8,2,4,Towards Bus Stand,Local Market near Dwarka Sector 8
9,3,1,Towards Main Road,PVR Cinemas near Dwarka Sector 9
10,3,2,Towards Bus Stand,Post Office near Dwarka Sector 9
11,3,3,Towards East Avenue,Local Market near Dwarka Sector 9
12,3,4,Towards West Avenue,Bank Branch near Dwarka Sector 9
13,4,1,Towards Main Road,Hospital near Dwarka Sector 10
14,4,2,Towards East Avenue,Police Station near Dwarka Sector 10
15,4,3,Towards North Block,Hospital near Dwarka Sector 10
16,5,1,Towards South Block,Central Park near Dwarka Sector 11
17,5,2,Towards Residential Area,University near Dwarka Sector 11
18,6,1,Towards South Block,Police Station near Dwarka Sector 12
19,6,2,Towards North Block,City Mall near Dwarka Sector 12
20,7,1,Towards West Avenue,PVR Cinemas near Dwarka Sector 13
21,7,2,Towards Residential Area,University near Dwarka Sector 13
22,7,3,Towards Residential Area,PVR Cinemas near Dwarka Sector 13
23,7,4,Towards North Block,Post Office near Dwarka Sector 13
24,8,1,Towards South Block,Bank Branch near Dwarka Sector 14
25,8,2,Towards Bus Stand,Central Park near Dwarka Sector 14
26,8,3,Towards Main Road,Post Office near Dwarka Sector 14
27,8,4,Towards Bus Stand,Bus Terminus near Dwarka Sector 14
28,9,1,Towards Bus Stand,Central Park near Dwarka
29,9,2,Towards East Avenue,Bus Terminus near Dwarka
30,10,1,Towards South Block,Hospital near Dwarka Mor
31,10,2,Towards South Block,Police Station near Dwarka Mor
32,10,3,Towards Bus Stand,Post Office near Dwarka Mor
33,11,1,Towards Residential Area,Bank Branch near Nawada
34,11,2,Towards Commercial Hub,PVR Cinemas near Nawada
35,11,3,Towards Bus Stand,Hospital near Nawada
36,12,1,Towards East Avenue,Bus Terminus near Uttam Nagar West
37,12,2,Towards Bus Stand,Post Office near Uttam Nagar West
38,12,3,Towards South Block,City Mall near Uttam Nagar West
39,13,1,Towards Main Road,Police Station near Uttam Nagar East
40,13,2,Towards East Avenue,Bus Terminus near Uttam Nagar East
41,14,1,Towards Bus Stand,Bank Branch near Janakpuri West
42,14,2,Towards South Block,Local Market near Janakpuri West
43,15,1,Towards West Avenue,University near Janakpuri East
44,15,2,Towards West Avenue,Hospital near Janakpuri East
45,15,3,Towards North Block,Hospital near Janakpuri East
46,15,4,Towards Bus Stand,PVR Cinemas near Janakpuri East
47,16,1,Towards North Block,Bank Branch near Tilak Nagar
48,16,2,Towards East Avenue,Bank Branch near Tilak Nagar
49,16,3,Towards East Avenue,Police Station near Tilak Nagar
50,16,4,Towards Bus Stand,Hospital near Tilak Nagar
51,17,1,Towards West Avenue,Central Park near Subhash Nagar
52,17,2,Towards Main Road,Central Park near Subhash Nagar
53,17,3,Towards Commercial Hub,Post Office near Subhash Nagar
54,17,4,Towards Commercial Hub,Post Office near Subhash Nagar
55,18,1,Towards Residential Area,University near Tagore Garden
56,18,2,Towards East Avenue,Bank Branch near Tagore Garden
57,18,3,Towards West Avenue,PVR Cinemas near Tagore Garden
58,19,1,Towards Main Road,Post Office near Rajouri Garden
59,19,2,Towards Residential Area,Post Office near Rajouri Garden
60,19,3,Towards North Block,Post Office near Rajouri Garden
